# 3x4 first row second row third row Freq: 250 current Time: 2020-10-01-14:39:17
-0.10055915266275406 0.9947999715805054 -0.01614757440984249 -1.4498957395553589 -0.006556294392794371 -0.016892001032829285 -0.9998357892036438 -0.6520919799804688 -0.994909405708313 -0.10043682903051376 0.008220911026000977 -0.925610363483429
-0.10052045434713364 0.9948039650917053 -0.016144433990120888 -1.450021505355835 -0.006542653311043978 -0.01688714511692524 -0.9998359084129333 -0.6521157622337341 -0.9949133992195129 -0.10039839893579483 0.008206225000321865 -0.9255495071411133
-0.09948808699846268 0.9949026703834534 -0.016450876370072365 -1.4501632452011108 -0.006353611592203379 -0.017167681828141212 -0.9998323917388916 -0.6532920598983765 -0.9950184226036072 -0.09936694800853729 0.008029269054532051 -0.9241126179695129
-0.09944912791252136 0.9949064254760742 -0.016459288075566292 -1.4502673149108887 -0.006336435209959745 -0.01717410422861576 -0.9998323917388916 -0.6534733772277832 -0.9950224161148071 -0.09932822734117508 0.00801217369735241 -0.9237509369850159
-0.09890127927064896 0.9949394464492798 -0.017717624083161354 -1.449966549873352 -0.008586243726313114 -0.018657438457012177 -0.9997889995574951 -0.6522524952888489 -0.99506014585495 -0.09872835129499435 0.010388100519776344 -0.9254874587059021
-0.09888838976621628 0.9949407577514648 -0.017716655507683754 -1.449967861175537 -0.00856480561196804 -0.018654203042387962 -0.9997892379760742 -0.6522402167320251 -0.9950616359710693 -0.0987158715724945 0.010366221889853477 -0.9254913926124573
-0.09900534152984619 0.9949268102645874 -0.01784389652311802 -1.4499156475067139 -0.009884607046842575 -0.0189143605530262 -0.9997721910476685 -0.6516923308372498 -0.9950377345085144 -0.0988064631819725 0.01170714758336544 -0.9261687994003296
-0.09891211986541748 0.9949431419372559 -0.017448175698518753 -1.4498939514160156 -0.010819830931723118 -0.018608389422297478 -0.9997682571411133 -0.6514102220535278 -0.9950372576713562 -0.09870047122240067 0.012605775147676468 -0.9263418912887573
-0.09909806400537491 0.9949309825897217 -0.01708080992102623 -1.4499518871307373 -0.011598845943808556 -0.01831902004778385 -0.9997648596763611 -0.6513044834136963 -0.9950100183486938 -0.0988767072558403 0.013355495408177376 -0.926383376121521
-0.09910653531551361 0.994929850101471 -0.017100030556321144 -1.4499489068984985 -0.011572224088013172 -0.018335804343223572 -0.9997648596763611 -0.6512670516967773 -0.9950094819068909 -0.09888540953397751 0.013330812565982342 -0.9264175891876221
-0.09908399730920792 0.9949323534965515 -0.017082758247852325 -1.4499436616897583 -0.011593353003263474 -0.018320241943001747 -0.9997649192810059 -0.6512210369110107 -0.9950114488601685 -0.09886271506547928 0.013349909335374832 -0.9264616966247559
