dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
1442.8926,-89.6212,9.5304,0.0015316,0.00251793,0.00594035,0.00663125,1.40404e-06,7.60336e-06,-3.09978e-06,7.94224e-05,0.000221565,0.0138014,0.0106238,0.0158249,0.0164944,0.0252063,5.31112e-05,4.11348e-05,-1.42721e-05,23.4,1025,23.9,
1564.6540,-112.1313,9.5037,0.00121938,0.00305339,0.0024517,0.00410132,2.98082e-06,1.25576e-06,-3.54696e-07,8.77429e-05,0.000160278,0.0110954,0.0108171,0.0164214,0.0170978,0.0260577,5.76611e-05,4.34359e-05,-1.48004e-05,23.4,1025,23.7,
1465.1329,31.9780,9.2652,0.00193642,0.00549037,0.00413575,0.00714131,8.76903e-06,3.85301e-06,-9.10968e-07,0.000183882,0.000216134,0.0165629,0.0104169,0.015866,0.0164161,0.0250944,4.71641e-05,4.13618e-05,-1.26386e-05,23.4,1024,23.8,
1442.9286,-89.6686,9.5417,0.00507112,0.0137514,0.00817706,0.0167834,6.38055e-05,1.53764e-05,-2.92317e-06,0.000501158,0.000318973,0.0348342,0.0106239,0.0158251,0.0164947,0.0252067,5.31149e-05,4.11349e-05,-1.42726e-05,23.4,1025,23.8,
2955.4341,-112.3500,23.3473,0.00106988,0.00367083,0.00417264,0.00565955,3.04714e-06,2.65886e-06,-6.84137e-07,8.05875e-05,0.000220595,0.0196458,0.0124154,0.0232139,0.0237336,0.0354445,9.5369e-05,6.78685e-05,-1.61231e-05,23.4,1024,24,
3072.7021,-151.9918,27.2247,0.00293154,0.0100066,0.0116898,0.0156645,2.28825e-05,2.01962e-05,-5.35746e-06,0.000230402,0.000285724,0.0314801,0.0126218,0.0238033,0.0243463,0.0363132,0.000102201,6.96465e-05,-1.67161e-05,23.4,1024,23.9,
2994.7662,4.8302,24.3229,0.00242233,0.0098366,0.00840205,0.0131613,1.97537e-05,1.0945e-05,-1.7904e-06,0.00026992,0.000370378,0.0384397,0.0122435,0.0233775,0.0237989,0.0355359,8.58102e-05,6.84077e-05,-1.43905e-05,23.4,1024,23.6,
2955.4771,-112.4206,23.2439,0.00376948,0.0152725,0.00703385,0.0172317,5.48783e-05,8.31977e-06,1.31283e-06,0.000343347,0.000228573,0.0345042,0.0124158,0.0232142,0.0237339,0.035445,9.53758e-05,6.78788e-05,-1.61265e-05,23.4,1024,23.6,
3054.9352,1337.6606,62.8621,0.00133596,0.0123025,0.00631113,0.0138913,-1.15299e-05,5.79234e-06,2.35631e-06,0.000231311,0.000176559,0.0242872,0.0115249,0.0235612,0.0236731,0.0353323,-3.3398e-05,6.56703e-05,4.9431e-06,23.4,1024,23.8,
3177.9846,1323.9872,66.0208,0.00144602,0.00827227,0.00773347,0.0114161,-4.89607e-06,8.58348e-06,7.6433e-07,0.000153728,0.000266963,0.0263352,0.011659,0.0241747,0.0242783,0.036191,-3.32611e-05,6.74819e-05,4.76165e-06,23.4,1024,23.8,
3068.4796,1460.5630,62.4374,0.00138827,0.00845552,0.0062523,0.0106073,-7.25376e-06,5.68741e-06,1.14492e-06,0.000216849,0.000199672,0.0246978,0.011643,0.0236403,0.023796,0.0355059,-4.46777e-05,6.59861e-05,6.66841e-06,23.4,1024,24,
3055.0077,1337.5957,62.8245,0.00125155,0.00928341,0.00634833,0.0113159,-6.56685e-06,5.92818e-06,1.24104e-06,0.000342498,0.000229558,0.0343702,0.011525,0.0235616,0.0236735,0.0353328,-3.33927e-05,6.56751e-05,4.94247e-06,23.4,1024,24.1,
3193.8993,2823.4444,102.5122,0.00535335,0.013278,0.0141596,0.020136,-6.62169e-05,2.408e-05,9.17904e-06,0.000325482,0.000344172,0.0432877,0.0144912,0.0245958,0.0259963,0.0386103,-0.000177148,6.52025e-05,2.47471e-05,23.4,1024,23.8,
3317.5277,2829.4217,106.2052,0.00805963,0.0191482,0.0303461,0.0367763,-0.000132784,0.000110698,3.24305e-05,0.000518227,0.000689728,0.0805696,0.0146339,0.0251997,0.0265828,0.0394439,-0.000183317,6.67927e-05,2.48027e-05,23.4,1024,23.9,
3187.7643,2946.9623,101.1027,0.00230543,0.00422422,0.010903,0.0119178,-6.43808e-06,1.45989e-05,4.21962e-06,0.000117197,0.000348655,0.0338772,0.0148544,0.0246124,0.0261946,0.0388919,-0.000189024,6.5364e-05,2.65056e-05,23.3,1024,24.1,
3193.9418,2823.4176,102.4692,0.00515924,0.0130376,0.0109803,0.0178091,-6.40853e-05,1.40372e-05,6.6237e-06,0.000435156,0.000423288,0.0554524,0.0144912,0.024596,0.0259964,0.0386105,-0.000177147,6.52073e-05,2.47484e-05,23.3,1024,23.7,
-71.5607,43.0987,253.1510,0.00238441,0.00396217,0.00218966,0.00511652,9.01441e-06,1.27879e-06,-4.89899e-07,0.000156526,0.000286417,0.0108482,0.00912115,0.0111484,0.0121967,0.0188743,3.63809e-05,2.28668e-05,-1.35377e-05,23.3,1024,23.7,
29.2805,-28.7530,253.9580,0.0011452,0.00160222,0.00302553,0.00361005,1.09419e-06,2.01956e-06,-1.3028e-06,0.000113883,0.00019655,0.00802091,0.00921098,0.0111865,0.0122383,0.0189673,3.66641e-05,2.10524e-05,-1.26177e-05,23.3,1024,23.3,
-0.2245,143.5202,260.9654,0.0013389,0.00256808,0.00133926,0.00319082,3.22741e-06,4.73633e-07,-1.33159e-07,3.98619e-05,0.000215246,0.00732283,0.00886291,0.0113676,0.0122104,0.0188909,3.35401e-05,2.31911e-05,-1.17291e-05,23.3,1024,23.3,
-71.5433,43.0719,253.1079,0.00256214,0.00403464,0.00429828,0.00642792,8.63238e-06,4.4927e-06,-2.60299e-06,0.000165251,0.000381888,0.0138302,0.00912123,0.0111483,0.0121966,0.0188743,3.63799e-05,2.28679e-05,-1.35386e-05,23.3,1024,23.3,
117.4747,1473.0498,295.0671,0.000569169,0.00101493,0.0017404,0.00209357,-2.29907e-07,7.45731e-07,1.75831e-07,3.35966e-05,0.000204678,0.00688655,0.00819893,0.011824,0.0122437,0.0188928,-2.2579e-05,2.3703e-05,6.58598e-06,23.2,1024,23.4,
240.4031,1458.8923,297.7065,0.000949479,0.00347124,0.00145139,0.0038804,-3.04838e-06,4.47369e-07,2.98962e-07,0.000179206,0.0002063,0.00960155,0.00820834,0.0119181,0.0122786,0.0189785,-2.0785e-05,2.20456e-05,5.56144e-06,23.2,1024,23.7,
131.4841,1595.4981,302.5700,0.000780493,0.00152238,0.00217603,0.00276802,-6.97872e-07,1.09812e-06,3.43359e-07,4.0769e-05,0.000376751,0.0128933,0.00840031,0.0117254,0.0122658,0.0189341,-2.6885e-05,2.22061e-05,7.64353e-06,23.2,1024,23.8,
117.4650,1473.0655,295.0630,0.00119215,0.00128288,0.00450647,0.0048348,-1.70288e-07,5.1231e-06,1.11599e-06,0.000125988,0.000403905,0.0140475,0.00819896,0.0118239,0.0122437,0.0188928,-2.25796e-05,2.37032e-05,6.58627e-06,23.2,1024,23.8,
213.3502,2971.2568,337.7204,0.00766223,0.00716821,0.00829962,0.0133782,-5.31423e-05,7.05927e-06,8.25949e-06,0.000739422,0.000602179,0.0461456,0.0116037,0.0112585,0.013757,0.0212286,-5.5966e-05,1.26956e-05,1.3522e-05,23.2,1024,23.7,
336.6553,2961.9689,340.4666,0.00270227,0.0026906,0.00487677,0.00619068,-6.69157e-06,2.65076e-06,2.46735e-06,0.000191234,0.00029252,0.0173849,0.0117104,0.0117008,0.0141472,0.0217758,-6.07584e-05,1.36984e-05,1.36253e-05,23.2,1024,23.7,
222.4800,3094.3515,345.0286,0.0114219,0.0101444,0.0169032,0.0227835,-0.00010894,2.88569e-05,3.15015e-05,0.000795762,0.00111824,0.0686965,0.0120899,0.0114348,0.0142371,0.0219001,-6.13903e-05,1.28294e-05,1.4442e-05,23.2,1024,23.8,
213.3629,2971.2543,337.6663,0.0106927,0.00999607,0.01905,0.0240241,-9.78318e-05,4.05493e-05,4.04674e-05,0.00073866,0.000950112,0.0582368,0.0116037,0.0112585,0.013757,0.0212287,-5.59659e-05,1.26973e-05,1.35237e-05,23.2,1024,23.8,
1646.1987,2919.9022,347.9679,0.0029523,0.00489442,0.00508652,0.00765142,-1.38428e-05,2.38223e-06,1.51404e-06,0.000184286,0.000249375,0.0208761,0.0130002,0.017253,0.0192016,0.0289028,-0.000117063,2.58127e-05,1.51777e-05,23.2,1024,23.9,
1769.6126,2910.3527,350.1511,0.0022817,0.00392938,0.00468342,0.00652538,-8.56849e-06,2.03889e-06,1.12368e-06,0.000186456,0.000216971,0.0197656,0.0130973,0.0178173,0.0197098,0.0296221,-0.000122103,2.68776e-05,1.51606e-05,23.2,1024,23.9,
1655.6017,3043.0077,354.8559,0.00674416,0.0106897,0.00996256,0.0160937,-7.0851e-05,8.46699e-06,6.33871e-06,0.000393412,0.00053112,0.0453169,0.0134266,0.0173774,0.01956,0.0294081,-0.00012575,2.56272e-05,1.59798e-05,23.2,1024,23.7,
1646.2146,2919.8911,347.9135,0.00237441,0.00392573,0.00539651,0.00708319,-8.92146e-06,2.82532e-06,1.51623e-06,0.000169106,0.00026717,0.0212876,0.0130002,0.0172531,0.0192017,0.0289029,-0.000117063,2.58162e-05,1.51796e-05,23.2,1024,23.7,
1542.2744,1460.6454,308.0438,0.000826252,0.00347505,0.00420977,0.00552094,-1.81364e-06,2.5094e-06,2.88723e-07,0.000122969,0.000190963,0.0129504,0.00950068,0.0160407,0.0162213,0.0247123,-2.63916e-05,2.54968e-05,3.83739e-06,23.1,1024,24.3,
1665.8149,1452.5517,310.1935,0.00137647,0.00433989,0.00889219,0.00999002,-2.67534e-06,1.08665e-05,5.36126e-07,0.000223851,0.000538354,0.0344596,0.00964233,0.0166521,0.016822,0.0255587,-2.75064e-05,2.68114e-05,3.82189e-06,23.1,1024,24,
1550.1173,1583.7233,316.0152,0.000717125,0.00236061,0.00400631,0.00470503,-1.03618e-06,2.22548e-06,2.45841e-07,6.29599e-05,0.000203334,0.0122382,0.00964854,0.0161122,0.0163623,0.0249083,-3.32428e-05,2.52236e-05,4.75673e-06,23.1,1024,24,
1542.3029,1460.6304,308.0282,0.00187277,0.00547005,0.011413,0.012794,-4.43025e-06,1.8623e-05,1.11797e-06,0.000142572,0.000394405,0.0239124,0.00950072,0.0160409,0.0162214,0.0247125,-2.63911e-05,2.5498e-05,3.83741e-06,23.1,1024,24.2,
1448.6102,-82.2596,264.0544,0.00190567,0.00531986,0.00259412,0.00621787,9.50538e-06,1.07305e-06,4.52417e-08,0.000181992,0.000184928,0.0150089,0.0103251,0.0158176,0.0164371,0.0250397,5.48713e-05,2.72541e-05,-9.32182e-06,23.1,1024,24.2,
1568.4126,-113.4376,265.5684,0.00106694,0.00280556,0.00364721,0.00472352,2.53172e-06,1.8461e-06,-7.00312e-07,3.58627e-05,0.000211613,0.0128722,0.0105346,0.0164105,0.0170499,0.0259033,5.98536e-05,2.86981e-05,-9.72628e-06,23.1,1024,24.1,
1479.3386,37.1279,271.7667,0.000984407,0.00283191,0.00355573,0.00465102,2.2848e-06,1.82708e-06,-6.13203e-07,0.000173447,0.000220606,0.0161943,0.0101142,0.0159063,0.0164013,0.0249862,4.90859e-05,2.70764e-05,-8.13813e-06,23.1,1024,23.9,
1448.6342,-82.2915,264.0443,0.00102941,0.00255232,0.0033681,0.0043495,2.07177e-06,1.62294e-06,-6.22228e-07,0.000143549,0.000177604,0.0132102,0.0103252,0.0158178,0.0164373,0.0250399,5.48736e-05,2.7255e-05,-9.32234e-06,23.1,1024,23.9,
2978.7526,-208.9416,279.3100,0.00172353,0.00654487,0.00432231,0.00803046,1.08755e-05,1.96408e-06,-5.33576e-08,0.000128836,0.000213333,0.0209003,0.0123659,0.0233404,0.0239261,0.0356392,0.000106398,4.48573e-05,-1.1485e-05,23.1,1024,23.9,
3101.9513,-219.2069,283.6831,0.00142936,0.00536277,0.00423878,0.00698353,7.13403e-06,1.7692e-06,-2.34804e-07,0.000105803,0.000183143,0.0181842,0.0125247,0.0239508,0.0245343,0.0365026,0.000110929,4.59097e-05,-1.15475e-05,23.1,1024,24.3,
2988.0679,-86.4938,285.5685,0.000999457,0.00373342,0.00544999,0.0066813,3.07067e-06,2.89037e-06,-9.13349e-07,0.00011653,0.000264367,0.0241276,0.0121196,0.0233538,0.0238277,0.0354972,9.5432e-05,4.4331e-05,-1.01579e-05,23.1,1024,24.7,
2978.3199,-209.5380,279.1589,0.00229083,0.0085679,0.00698674,0.0112903,1.85759e-05,4.97034e-06,-7.83049e-07,0.000211024,0.000259713,0.0280624,0.0123668,0.0233385,0.0239248,0.0356373,0.00010644,4.48664e-05,-1.14942e-05,23,1024,24.4,
3059.2112,1230.9325,316.5530,0.00164177,0.0167122,0.013844,0.0217635,-1.53418e-05,1.82799e-05,2.49666e-06,0.000428547,0.000498559,0.0544292,0.0111718,0.0235749,0.0236261,0.0351963,-2.4134e-05,4.20606e-05,2.2602e-06,23,1024,24.6,
3182.8253,1237.4699,319.7631,0.00102265,0.00892742,0.00961999,0.0131639,-4.41836e-06,8.59504e-06,2.50935e-07,0.000195833,0.00036898,0.0354711,0.0113242,0.024193,0.0242436,0.0360734,-2.556e-05,4.31235e-05,2.31754e-06,23,1024,24.4,
3052.3520,1354.1615,322.9664,0.00155905,0.013133,0.0119829,0.0178465,-1.40035e-05,1.34989e-05,1.59818e-06,0.000280273,0.000319053,0.0351572,0.0112375,0.023549,0.0236336,0.0352049,-3.53951e-05,4.14094e-05,3.31296e-06,23,1024,24.6,
3059.2496,1230.9191,316.4419,0.000797584,0.00761854,0.0065397,0.010072,-3.18867e-06,4.07962e-06,4.84009e-07,0.000231703,0.000262912,0.0290059,0.011172,0.0235751,0.0236263,0.0351966,-2.41329e-05,4.20714e-05,2.26062e-06,23,1024,24.4,
3170.0778,2791.6182,357.0503,0.00428977,0.0110351,0.0110957,0.0162263,-4.55687e-05,9.09817e-06,3.70197e-06,0.000294816,0.000319609,0.0392641,0.0141822,0.0244582,0.0258029,0.038277,-0.000175145,4.00173e-05,1.50447e-05,23,1024,24.3,
3293.0716,2777.9501,360.3066,0.00272032,0.00708233,0.0109423,0.0133151,-1.81683e-05,9.09574e-06,2.22228e-06,0.00020761,0.000437618,0.0446677,0.0142689,0.0250536,0.0263546,0.0390621,-0.000179151,4.08918e-05,1.48794e-05,23,1024,24.3,
