# 3x4 first row second row third row Freq: 100 current Time: 2020-10-02-13:34:50
-0.039445411413908005 0.9988422393798828 0.02753700129687786 -0.008610401302576065 -0.01078086532652378 0.027131402865052223 -0.9995737671852112 -0.5911754369735718 -0.9991635680198669 -0.039725448936223984 0.009698156267404556 -1.99285888671875
-0.039743877947330475 0.998816728591919 0.028029559180140495 -0.008549007587134838 -0.0107629569247365 0.027622146531939507 -0.999560534954071 -0.5911407470703125 -0.9991519451141357 -0.04002807289361954 0.009652391076087952 -1.9928618669509888
-0.03985276073217392 0.9988135695457458 0.027985798195004463 -0.0086283590644598 -0.010744160041213036 0.02757805399596691 -0.9995619058609009 -0.5911585688591003 -0.9991478323936462 -0.04013596475124359 0.009632332250475883 -1.9927979707717896
-0.039664365351200104 0.9988265037536621 0.027792004868388176 -0.008728916756808758 -0.010840506292879581 0.027382085099816322 -0.9995662569999695 -0.5911282896995544 -0.999154269695282 -0.03994842246174812 0.009741673246026039 -1.9927644729614258
-0.039503369480371475 0.9988270401954651 0.02800096943974495 -0.008819203823804855 -0.01111090462654829 0.02758200466632843 -0.9995577931404114 -0.5909308791160583 -0.9991576671600342 -0.03979699686169624 0.010008270852267742 -1.9931193590164185
-0.03877710551023483 0.9988834857940674 0.026983849704265594 -0.008914207108318806 -0.01128282118588686 0.026564735919237137 -0.9995834231376648 -0.5912104845046997 -0.9991841912269592 -0.03906538709998131 0.01024010218679905 -1.9933934211730957
-0.038788579404354095 0.9988906979560852 0.026698507368564606 -0.00869559496641159 -0.010985352098941803 0.026290707290172577 -0.99959397315979 -0.5913794040679932 -0.9991870522499084 -0.03906610608100891 0.009953368455171585 -1.9926671981811523
-0.03868310898542404 0.9988895058631897 0.026895832270383835 -0.008737679570913315 -0.011271246708929539 0.026478072628378868 -0.9995858669281006 -0.5909850597381592 -0.9991880059242249 -0.0389702208340168 0.010234457440674305 -1.9932243824005127
-0.038689639419317245 0.9988861083984375 0.02701214887201786 -0.00872067455202341 -0.011647462844848633 0.026579724624753 -0.9995788335800171 -0.5909196734428406 -0.9991834163665771 -0.03898794949054718 0.010606111027300358 -1.9935067892074585
-0.03834737837314606 0.9989154934883118 0.02640851028263569 -0.008828787133097649 -0.011709754355251789 0.02597690373659134 -0.99959397315979 -0.5910752415657043 -0.9991958737373352 -0.038641028106212616 0.010700889863073826 -1.993425965309143
-0.038442350924015045 0.9989134073257446 0.026348777115345 -0.008785809390246868 -0.01161795761436224 0.02591967023909092 -0.9995965361595154 -0.5910409092903137 -0.9991933107376099 -0.03873294219374657 0.010608901269733906 -1.9933183193206787
-0.03804314136505127 0.9989440441131592 0.025758521631360054 -0.008894120343029499 -0.011495125479996204 0.025337977334856987 -0.9996128678321838 -0.591139018535614 -0.999210000038147 -0.03832449018955231 0.01051903236657381 -1.9932433366775513
-0.038057100027799606 0.9989420175552368 0.02581850066781044 -0.008748511783778667 -0.01173283439129591 0.025388725101947784 -0.9996088147163391 -0.591099202632904 -0.9992067217826843 -0.03834511712193489 0.010754181072115898 -1.9930763244628906
-0.03932139649987221 0.9988688826560974 0.026736924424767494 -0.00830959901213646 -0.011052560061216354 0.026321180164813995 -0.9995924234390259 -0.5916629433631897 -0.9991654753684998 -0.03960086405277252 0.01000505406409502 -1.9930964708328247
-0.03908975049853325 0.9988585710525513 0.027451762929558754 -0.008527427911758423 -0.011680404655635357 0.027014104649424553 -0.9995668530464172 -0.5913476943969727 -0.9991674423217773 -0.03939344733953476 0.010611078701913357 -1.9936585426330566
-0.039373211562633514 0.9988558888435364 0.027141952887177467 -0.008638602681457996 -0.010973801836371422 0.02672911062836647 -0.9995824694633484 -0.5914875864982605 -0.999164342880249 -0.039654605090618134 0.009908816777169704 -1.9929890632629395
-0.03940041735768318 0.9988567233085632 0.027071978896856308 -0.008743755519390106 -0.010917643085122108 0.026661045849323273 -0.9995849132537842 -0.5913587212562561 -0.9991638660430908 -0.03967960923910141 0.009854686446487904 -1.9926838874816895
-0.038273800164461136 0.9989248514175415 0.02615957520902157 -0.008976995944976807 -0.011050616391003132 0.02575402334332466 -0.999607264995575 -0.5909735560417175 -0.9992061853408813 -0.0385478250682354 0.01005301158875227 -1.9930591583251953
-0.03810301795601845 0.9989274740219116 0.026308739557862282 -0.008730743080377579 -0.011724752373993397 0.025879109278321266 -0.999596357345581 -0.5909481644630432 -0.9992050528526306 -0.03839608281850815 0.010726085864007473 -1.9939574003219604
-0.03836476802825928 0.9989109039306641 0.026556266471743584 -0.008474454283714294 -0.011576605029404163 0.026129724457859993 -0.9995915293693542 -0.591211199760437 -0.9991967678070068 -0.038656510412693024 0.01056151743978262 -1.9941484928131104
-0.03845492750406265 0.9989062547683716 0.026600545272231102 -0.008542084135115147 -0.011491784825921059 0.026176370680332184 -0.9995912909507751 -0.5910465121269226 -0.9991942644119263 -0.03874487802386284 0.010472586378455162 -1.9938156604766846
-0.03906535729765892 0.998863697052002 0.027299609035253525 -0.008562478236854076 -0.011287370696663857 0.02687758579850197 -0.9995750188827515 -0.5910532474517822 -0.9991729259490967 -0.03935687616467476 0.010224543511867523 -1.9935246706008911
-0.038656387478113174 0.9988998770713806 0.026546478271484375 -0.00882069393992424 -0.01115421112626791 0.026133310049772263 -0.9995962381362915 -0.5910091400146484 -0.9991903305053711 -0.03893686830997467 0.010131701827049255 -1.993385672569275
