dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
-4485.1332,660.3783,-395.7873,0.000493194,0.00111488,0.00322577,0.00344844,1.50457e-07,-8.86409e-07,1.30512e-07,6.23749e-05,0.000134826,0.011799,0.011212,0.0224811,0.0226865,0.0338494,5.71435e-05,-3.45863e-05,5.09239e-06,27.3,1008,42.1,
-4584.3205,734.3694,-390.3263,0.000463424,0.00252627,0.00272107,0.00374179,1.01396e-06,-6.14649e-07,9.84616e-08,9.72973e-05,0.00013363,0.0134416,0.0114289,0.0229871,0.0232315,0.0346227,6.54001e-05,-3.50771e-05,5.61906e-06,27.3,1008,42.3,
-4559.0378,561.0136,-396.2159,0.000524286,0.00190275,0.00424319,0.00467974,4.18022e-07,-1.53369e-06,1.88728e-07,4.37348e-05,0.000183012,0.0151413,0.0111807,0.0228341,0.0229857,0.0342746,4.95274e-05,-3.53147e-05,4.34566e-06,27.3,1008,42.2,
-0.1780,123.8859,-0.0122,0.00104194,0.00170979,0.00314068,0.00372463,-1.61114e-06,1.13044e-06,4.72854e-07,4.16691e-05,0.000155491,0.0129536,0.0149191,0.0206636,0.0229173,0.0342749,-0.00017507,4.38061e-05,2.50373e-05,27.3,1008,42,
0.0325,0.0591,-0.0620,0.00412918,0.00703619,0.0136531,0.0159049,-2.56736e-05,2.18989e-05,8.46495e-06,0.000224402,0.000392638,0.0359197,0.0144914,0.0205979,0.0226173,0.0338499,-0.000164954,4.36593e-05,2.35951e-05,27.3,1008,41.9,
-4.4968,-491.0425,0.9347,0.00153825,0.00337607,0.00233614,0.00438425,-4.57045e-06,5.54091e-07,4.01792e-07,0.000118672,0.000120875,0.0128574,0.0129337,0.0203337,0.0215371,0.0323201,-0.000125388,4.29397e-05,1.79336e-05,27.3,1008,42.2,
119.4257,-492.5780,0.0202,0.000967939,0.00202454,0.00413992,0.004709,-1.58425e-06,2.12298e-06,5.94107e-07,8.19235e-05,0.000196808,0.0165523,0.013063,0.0209299,0.0221049,0.033126,-0.000130243,4.46739e-05,1.80804e-05,27.3,1008,42.2,
-3.1646,-367.2653,0.7557,0.00106366,0.00168801,0.00303843,0.00363494,-9.96713e-07,1.08023e-06,3.46105e-07,6.8273e-05,0.000164257,0.0136163,0.0133024,0.0203975,0.0217892,0.0326769,-0.000135242,4.31127e-05,1.93403e-05,27.3,1008,42.2,
-4.4039,-491.1122,0.9138,0.00100606,0.00197613,0.00252006,0.00335678,-1.48042e-06,7.47633e-07,2.71682e-07,7.14271e-05,0.00016777,0.0138458,0.0129336,0.0203341,0.0215374,0.0323205,-0.000125386,4.29425e-05,1.79336e-05,27.3,1008,42.2,
-7.8648,-1421.4026,0.7050,0.000664647,0.00188799,0.0040642,0.00453034,-6.20695e-07,2.29843e-06,2.74124e-07,7.0756e-05,0.000228118,0.0169541,0.0108478,0.0199932,0.0201882,0.0304132,-5.40572e-05,4.20694e-05,7.74193e-06,27.3,1008,42.1,
116.0537,-1423.1762,-0.3717,0.00170631,0.00893069,0.00465406,0.0102142,-1.41159e-05,2.78256e-06,1.17433e-06,0.00019414,0.000213073,0.0210686,0.0109941,0.020607,0.0207936,0.0312713,-5.61891e-05,4.38695e-05,7.81168e-06,27.3,1008,42.1,
