dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
-1155.0959,2039.2311,-728.7572,0.0017975,0.00119883,0.00236451,0.00320299,1.49611e-06,-8.48496e-07,1.49795e-06,9.74098e-05,0.000210073,0.00991908,0.0112084,0.00948543,0.0121743,0.019074,2.97384e-05,-1.27388e-05,2.24893e-05,23.5,993.6,46,
-1258.5496,2106.9332,-724.1600,0.00674308,0.00450275,0.00850508,0.0117508,2.33984e-05,-1.09456e-05,1.8324e-05,0.0004731,0.000587109,0.0336734,0.0114319,0.00973822,0.0124884,0.0195316,3.32986e-05,-1.34286e-05,2.24808e-05,23.5,993.6,46.1,
-1222.4101,1935.6769,-729.8595,0.000811064,0.000720487,0.00188282,0.002173,1.45722e-07,-5.90808e-07,9.3554e-07,2.11258e-05,8.09322e-05,0.00350786,0.0110492,0.00960796,0.012155,0.01903,3.12735e-05,-1.42458e-05,2.25582e-05,23.5,993.6,46.1,
-0.4133,123.5343,-0.0049,0.00241716,0.00404104,0.00476561,0.00669953,6.12765e-06,7.43688e-06,-3.36137e-06,0.000195137,0.000372004,0.0176172,0.00929455,0.0114067,0.0120682,0.01903,2.54951e-05,2.67798e-05,-1.21776e-05,23.5,993.6,46,
-0.0098,0.0194,-0.0071,0.00294797,0.00488729,0.00493514,0.00754532,1.07869e-05,7.57512e-06,-3.95453e-06,0.000349487,0.000399004,0.022721,0.00945915,0.0113201,0.0120911,0.0190739,2.75591e-05,2.54021e-05,-1.30446e-05,23.5,993.6,46.1,
1566.5892,1451.7763,-12.5631,0.00106263,0.0039588,0.00306917,0.00512066,-1.54681e-06,2.00654e-06,2.88749e-07,0.000111674,0.000229007,0.0166254,0.0104208,0.0182751,0.0183339,0.0279053,-2.42779e-05,5.48563e-05,5.68043e-06,23.5,993.6,46.1,
1690.2917,1456.1039,-12.9663,0.00135535,0.00862263,0.00417005,0.00967348,-7.46288e-06,3.67597e-06,1.09755e-06,0.000228253,0.000203938,0.020595,0.0105731,0.0188919,0.0189434,0.0287671,-2.58006e-05,5.74236e-05,5.82092e-06,23.5,993.6,46.1,
1562.0361,1575.3078,-12.0586,0.00107247,0.00330011,0.00428815,0.00551626,-1.42424e-06,4.13892e-06,4.67383e-07,0.00011518,0.000172568,0.0135603,0.0105246,0.018274,0.0183861,0.0279778,-3.20583e-05,5.48177e-05,7.54033e-06,23.5,993.6,46.1,
1566.5658,1451.7930,-12.5968,0.00112637,0.00431308,0.00400151,0.00599028,-1.85876e-06,3.55795e-06,4.03367e-07,0.000124218,0.000157362,0.0130673,0.0104208,0.018275,0.0183338,0.0279052,-2.42787e-05,5.48581e-05,5.6809e-06,23.5,993.6,46.1,
1756.1846,1189.1795,-19.2843,0.00120885,0.00440057,0.00472268,0.00656734,-5.84739e-07,4.79356e-06,1.14716e-07,0.000134513,0.000238662,0.0186623,0.0105263,0.019198,0.0191806,0.0291078,-8.32032e-06,5.91251e-05,1.78141e-06,23.5,993.6,46.1,
1879.9532,1192.4321,-19.5326,0.000733672,0.00164297,0.00286708,0.00338494,-8.15195e-08,1.70697e-06,-3.74587e-09,0.000127828,0.000179964,0.0155036,0.010676,0.0198164,0.0197927,0.0299736,-8.94184e-06,6.16992e-05,1.85431e-06,23.5,993.5,46.1,
1752.6651,1312.7380,-19.2185,0.000859275,0.00355294,0.00353802,0.00508717,-7.72394e-07,2.7113e-06,1.70352e-07,0.000117414,0.000196599,0.0156361,0.0105676,0.0191879,0.0191927,0.0291241,-1.66761e-05,5.90831e-05,3.68439e-06,23.5,993.5,46.1,
